matricule;date;quantite;fournisseur;typePaiement;note;station
1139;01/06/2023 07:32;347.61;0;1407023587;3;94
929;01/06/2023 09:08;42.82;0;1407004714;3;87
817397;01/06/2023 08:54;19.8;0;1407004720;0;98
817356;01/06/2023 08:45;31.68;0;1407004738;0;93
2532;01/06/2023 12:18;40.82;0;1407026665;4;98
1234;01/06/2023 12:15;71.54;0;1407004727;3;5
294;01/06/2023 14:45;42.82;0;1407020803;3;122
2530;01/06/2023 14:30;17.82;0;1407004596;0;109
2504;01/06/2023 18:20;15.05;0;1407004598;0;94
817367;01/06/2023 18:12;40.0;0;1407027605;0;98
817374;01/06/2023 17:52;27.72;0;1407004737;0;90
2394;01/06/2023 17:00;151.13;0;1407020802;3;93
230;01/06/2023 19:34;78.09;0;1407018303;3;29
2487;01/06/2023 14:31;43.96;0;1407022475;0;82
2515;02/06/2023 07:31;168.77;0;1407004707;3;7
2550;02/06/2023 12:10;138.54;0;1407045629;3;94
837709;02/06/2023 11:48;40.3;0;1407022917;3;94
2374;02/06/2023 15:58;31.68;0;1407022474;0;118
817367;02/06/2023 15:12;51.09;0;1407027605;0;94
2544;02/06/2023 15:08;146.1;0;1407040610;3;93
1139;02/06/2023 14:14;342.57;0;1407023587;3;94
2522;02/06/2023 19:17;24.16;0;1407009157;0;102
1889;02/06/2023 17:52;36.28;0;1407025486;4;90
2507;02/06/2023 17:18;35.64;0;1407004592;0;98
2834;02/06/2023 17:22;11.88;0;1407046036;0;50
2602;02/06/2023 17:14;15.84;0;1407004594;0;122
2558;02/06/2023 20:08;37.62;0;1407004595;0;90
2539;03/06/2023 10:10;23.76;0;1407018026;0;94
837710;03/06/2023 09:54;37.64;0;1407058655;4;87
230;03/06/2023 08:09;86.65;0;1407018303;3;122
2559;03/06/2023 13:06;168.77;0;1407004726;3;94
2529;03/06/2023 10:41;35.64;0;1407008328;0;100
2394;03/06/2023 14:06;151.13;0;1407020802;3;94
2504;03/06/2023 14:08;16.63;0;1407004598;0;94
1111;03/06/2023 19:19;69.02;0;1407004713;3;94
2537;04/06/2023 11:52;25.19;0;1407040611;3;98
2834;04/06/2023 19:28;11.88;0;1407046036;0;86
2476;04/06/2023 19:19;35.83;0;1407022662;4;100
929;05/06/2023 06:25;65.49;0;1407004714;3;78
2530;05/06/2023 09:44;34.06;0;1407004596;0;99
932;05/06/2023 13:26;31.75;0;1407022663;4;29
2544;05/06/2023 12:53;141.06;0;1407040610;3;94
817372;05/06/2023 12:12;50.38;0;1407022915;3;94
817369;05/06/2023 11:41;27.03;0;1407004729;4;94
2537;05/06/2023 16:02;37.28;0;1407040611;3;95
1139;05/06/2023 15:49;347.61;0;1407023587;3;94
817397;05/06/2023 18:59;19.8;0;1407004720;0;96
2515;05/06/2023 18:23;183.88;0;1407004707;3;7
2532;05/06/2023 17:09;31.75;0;1407026665;4;101
837708;06/06/2023 00:09;31.68;0;1407062403;0;102
929;06/06/2023 09:36;40.3;0;1407004714;3;87
1234;06/06/2023 09:37;98.24;0;1407004727;3;108
817359;06/06/2023 08:34;33.75;0;1407022916;3;94
817359;06/06/2023 08:32;20.15;0;1407022916;3;94
2834;06/06/2023 15:34;13.86;0;1407046036;0;24
2394;06/06/2023 13:54;50.38;0;1407020802;3;94
230;06/06/2023 18:07;69.02;0;1407018303;3;29
2487;06/06/2023 11:23;43.56;0;1407022475;0;82
2530;07/06/2023 09:41;33.66;0;1407004596;0;99
2507;07/06/2023 08:18;35.64;0;1407004592;0;98
2374;07/06/2023 07:55;23.76;0;1407022474;0;62
1889;07/06/2023 11:35;38.55;0;1407025486;4;94
294;07/06/2023 10:51;76.07;0;1407020803;3;87
2550;07/06/2023 10:46;151.13;0;1407045629;3;94
2537;07/06/2023 15:41;31.23;0;1407040611;3;95
2502;07/06/2023 14:07;47.86;0;1407062407;3;94
218;07/06/2023 17:56;56.93;0;1407004717;3;100
2394;07/06/2023 16:24;151.13;0;1407020802;3;94
2483;08/06/2023 10:05;42.82;0;1407022918;3;94
837710;08/06/2023 10:04;27.21;0;1407058655;4;87
929;08/06/2023 10:05;55.42;0;1407004714;3;13
2558;08/06/2023 08:49;33.27;0;1407004595;0;93
2532;08/06/2023 07:34;24.04;0;1407026665;4;89
2602;08/06/2023 11:02;17.82;0;1407004594;0;87
1624;08/06/2023 14:23;39.6;0;1407004711;0;94
2834;08/06/2023 12:20;12.67;0;1407046036;0;122
2530;08/06/2023 12:09;30.5;0;1407004596;0;64
1139;08/06/2023 15:24;347.61;0;1407023587;3;94
2504;08/06/2023 18:21;15.84;0;1407004598;0;94
2539;08/06/2023 18:14;26.14;0;1407018026;0;94
1234;08/06/2023 17:35;118.39;0;1407004727;3;87
817371;08/06/2023 22:26;60.2;0;1407021295;0;100
2522;09/06/2023 01:59;13.86;0;1407009157;0;98
837709;09/06/2023 09:01;25.19;0;1407022917;3;94
2559;09/06/2023 07:43;130.98;0;1407004726;3;93
2515;09/06/2023 07:37;175.31;0;1407004707;3;7
2550;09/06/2023 12:11;98.24;0;1407045629;3;94
2394;09/06/2023 16:39;151.13;0;1407020802;3;94
2544;09/06/2023 15:24;156.17;0;1407040610;3;93
2374;09/06/2023 14:59;35.64;0;1407022474;0;115
2834;09/06/2023 19:54;19.8;0;1407046036;0;87
2537;09/06/2023 17:36;38.79;0;1407040611;3;95
230;10/06/2023 10:06;77.08;0;1407018303;3;108
2507;10/06/2023 08:15;35.64;0;1407004592;0;98
932;10/06/2023 12:36;31.75;0;1407022663;4;29
1139;10/06/2023 14:59;347.61;0;1407023587;3;94
817367;10/06/2023 22:07;15.84;0;1407027605;0;98
2487;10/06/2023 16:18;43.56;0;1407022475;0;82
2476;11/06/2023 13:25;35.37;0;1407022662;4;100
837708;11/06/2023 13:18;39.6;0;1407062403;0;96
2602;11/06/2023 11:29;17.82;0;1407004594;0;87
2549;11/06/2023 11:26;65.82;0;1407024331;0;28
2522;11/06/2023 10:35;54.77;0;1407009157;0;100
817374;11/06/2023 17:23;24.16;0;1407004737;0;90
817397;11/06/2023 17:04;19.8;0;1407004720;0;98
2472;12/06/2023 10:34;37.19;0;1407044677;4;94
929;12/06/2023 10:04;66.5;0;1407004714;3;13
2537;12/06/2023 09:52;44.58;0;1407040611;3;95
2530;12/06/2023 09:45;30.89;0;1407004596;0;99
2532;12/06/2023 09:36;40.82;0;1407026665;4;98
837710;12/06/2023 12:29;33.11;0;1407058655;4;14
817359;12/06/2023 12:00;49.37;0;1407022916;3;94
2550;12/06/2023 11:48;128.46;0;1407045629;3;94
837709;12/06/2023 10:42;15.11;0;1407022917;3;94
837709;12/06/2023 15:48;50.38;0;1407022917;3;94
2515;12/06/2023 14:50;193.95;0;1407004707;3;7
