matricule,Mois,quantite
113,2023-06,81.61
113,2023-07,80.61
113,2023-08,81.61
113,2023-09,81.62
113,2023-10,81.61
113,2023-12,30.23
113,2024-01,56.42
113,2024-02,80.61
113,2024-03,15.11
131,2023-06,93.69999999999999
131,2023-07,201.51
131,2023-08,201.51
131,2023-09,201.52
131,2023-10,201.52
133,2023-06,86.65
133,2023-07,249.37
133,2023-08,283.67
133,2023-09,89.67
133,2023-10,252.39
133,2024-01,102.27000000000001
133,2024-02,122.42000000000002
133,2024-03,44.84
163,2023-06,62.17
163,2023-07,62.17
163,2023-08,62.17
163,2023-09,62.17
163,2023-10,62.17
163,2024-01,38.41
163,2024-02,62.17
163,2024-03,47.52
179,2023-06,75.57000000000001
179,2023-07,75.56
179,2023-08,75.56
179,2023-09,75.57000000000001
179,2023-10,75.57000000000001
182,2023-06,108.06
182,2023-07,122.41
182,2023-10,136.51999999999998
182,2024-01,48.87
182,2024-02,85.64
182,2024-03,35.26
192,2023-06,62.17
192,2023-07,59.400000000000006
192,2023-08,55.440000000000005
192,2023-09,62.17
192,2023-10,62.17
192,2024-01,47.52
192,2024-02,62.17
192,2024-03,35.64
218,2023-06,206.56
218,2023-07,187.91
218,2023-08,168.76
218,2023-09,209.07
218,2023-10,164.23
218,2024-01,223.19
218,2024-02,220.66
218,2024-03,41.31
230,2023-06,740.57
230,2023-07,710.01
230,2023-08,688.41
230,2023-09,710.3199999999999
230,2023-10,799.76
230,2024-01,763.31
230,2024-02,1050.02
230,2024-03,352.64
232,2023-06,390.43
232,2023-07,221.75
232,2023-08,461.97
232,2023-09,240.29
232,2023-10,78.08
232,2024-01,98.24000000000001
232,2024-02,37.78
251,2023-06,50.379999999999995
251,2023-07,50.38
251,2023-08,50.38
251,2023-09,50.38
251,2023-10,50.38
251,2023-12,25.19
251,2024-02,50.38
251,2024-03,35.26
294,2023-06,471.53999999999996
294,2023-07,516.38
294,2023-08,642.58
294,2023-09,537.54
294,2023-10,383.62
294,2024-01,327.27
294,2024-02,499.75
294,2024-03,136.53
314,2023-06,250.29000000000002
314,2023-07,382.97
314,2023-08,171.49
314,2023-09,211.89
314,2023-10,220.55
314,2024-01,159.6
314,2024-02,213.46
314,2024-03,87.91999999999999
331,2023-06,249.67000000000002
331,2023-07,467.40000000000003
331,2023-08,532.78
331,2023-09,141.06
331,2023-10,235.25
331,2024-01,288.67
331,2024-02,57.94
331,2024-03,177.34
352,2023-06,688.02
352,2023-07,1051.1399999999999
352,2023-08,459.45000000000005
352,2023-09,632.23
352,2023-10,611.07
354,2024-02,125.95
354,2024-03,35.26
